record_id,company_id,company_name,period_end,period_type,scenario,metric_group,metric_code,metric_name,value_numeric,value_display,unit,currency,status,source_file_or_url,source_reference,source_url,is_actual,is_proxy,notes
RU8604005359_REVENUE_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Финансовые результаты,REVENUE,Выручка,22577808,22 577 808,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_EBIT_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Финансовые результаты,EBIT,Прибыль от продаж / EBIT,1412320,1 412 320,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_NET_PROFIT_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Финансовые результаты,NET_PROFIT,Чистая прибыль / убыток,-869957,-869 957,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_FIXED_ASSETS_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Баланс,FIXED_ASSETS,Основные средства,17620297,17 620 297,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_INVENTORY_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Баланс,INVENTORY,Запасы,755868,755 868,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_AR_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Баланс,AR,Дебиторская задолженность,7326482,7 326 482,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_CASH_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Баланс,CASH,Денежные средства,790258,790 258,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_ASSETS_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Баланс,ASSETS,Итого активы,52375737,52 375 737,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_AP_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Баланс,AP,Кредиторская задолженность,3880164,3 880 164,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2022",,да,нет,
RU8604005359_DEPR_PROXY_3PCT_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Расчетные показатели,DEPR_PROXY_3PCT,Амортизация proxy = основные средства × 3%,528608.91,528 609,тыс. руб.,RUB,модельный расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Расчет по запросу: 3% от основных средств, 2022",,нет,да,
RU8604005359_EBITDA_PROXY_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Расчетные показатели,EBITDA_PROXY,EBITDA proxy = EBIT + амортизация proxy,1940928.9100000001,1 940 929,тыс. руб.,RUB,модельный расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"EBIT + 3% основных средств, 2022",,нет,да,
RU8604005359_EBIT_MARGIN_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Рентабельность,EBIT_MARGIN,Рентабельность по выручке / EBIT margin,0.06255345957410924,"0,06",%,RUB,расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"EBIT / выручка, 2022",,нет,да,"хранится долей, отображается как процент"
RU8604005359_NET_MARGIN_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Рентабельность,NET_MARGIN,Рентабельность по чистой прибыли,-0.03853150846176032,"-0,04",%,RUB,расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Чистая прибыль / выручка, 2022",,нет,да,"хранится долей, отображается как процент"
RU8604005359_EBITDA_MARGIN_PROXY_2022,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2022-12-31,год,actual,Рентабельность,EBITDA_MARGIN_PROXY,Рентабельность по EBITDA proxy,0.08596622444481768,"0,09",%,RUB,модельный расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"EBITDA proxy / выручка, 2022",,нет,да,"EBITDA рассчитана не по раскрытой амортизации, а по допущению 3% от основных средств"
RU8604005359_REVENUE_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Финансовые результаты,REVENUE,Выручка,25907336,25 907 336,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_EBIT_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Финансовые результаты,EBIT,Прибыль от продаж / EBIT,3125091,3 125 091,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_NET_PROFIT_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Финансовые результаты,NET_PROFIT,Чистая прибыль / убыток,630542,630 542,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_FIXED_ASSETS_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Баланс,FIXED_ASSETS,Основные средства,26815353,26 815 353,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_INVENTORY_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Баланс,INVENTORY,Запасы,907312,907 312,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_AR_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Баланс,AR,Дебиторская задолженность,12012230,12 012 230,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_CASH_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Баланс,CASH,Денежные средства,330359,330 359,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_ASSETS_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Баланс,ASSETS,Итого активы,64786164,64 786 164,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_AP_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Баланс,AP,Кредиторская задолженность,6774449,6 774 449,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Балансы!Ютейр-ВУ, 2023",,да,нет,
RU8604005359_DEPR_PROXY_3PCT_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Расчетные показатели,DEPR_PROXY_3PCT,Амортизация proxy = основные средства × 3%,804460.59,804 461,тыс. руб.,RUB,модельный расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Расчет по запросу: 3% от основных средств, 2023",,нет,да,
RU8604005359_EBITDA_PROXY_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Расчетные показатели,EBITDA_PROXY,EBITDA proxy = EBIT + амортизация proxy,3929551.59,3 929 552,тыс. руб.,RUB,модельный расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"EBIT + 3% основных средств, 2023",,нет,да,
RU8604005359_EBIT_MARGIN_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Рентабельность,EBIT_MARGIN,Рентабельность по выручке / EBIT margin,0.12062571775037001,"0,12",%,RUB,расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"EBIT / выручка, 2023",,нет,да,"хранится долей, отображается как процент"
RU8604005359_NET_MARGIN_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Рентабельность,NET_MARGIN,Рентабельность по чистой прибыли,0.024338357289996934,"0,02",%,RUB,расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"Чистая прибыль / выручка, 2023",,нет,да,"хранится долей, отображается как процент"
RU8604005359_EBITDA_MARGIN_PROXY_2023,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2023-12-31,год,actual,Рентабельность,EBITDA_MARGIN_PROXY,Рентабельность по EBITDA proxy,0.15167717707447806,"0,15",%,RUB,модельный расчет,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"EBITDA proxy / выручка, 2023",,нет,да,"EBITDA рассчитана не по раскрытой амортизации, а по допущению 3% от основных средств"
RU8604005359_REVENUE_2024,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2024-12-31,год,actual,Финансовые результаты,REVENUE,Выручка,26126502,26 126 502,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2024",,да,нет,
RU8604005359_EBIT_2024,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2024-12-31,год,actual,Финансовые результаты,EBIT,Прибыль от продаж / EBIT,-325113,-325 113,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2024",,да,нет,
RU8604005359_NET_PROFIT_2024,RU8604005359,АО «ЮТЭЙР-Вертолетные услуги»,2024-12-31,год,actual,Финансовые результаты,NET_PROFIT,Чистая прибыль / убыток,-341859,-341 859,тыс. руб.,RUB,подтверждено,Сводный_Анализ_Авиакомпании_2022-2026.xlsx; Ютейр.pdf,"ОФР!Ютейр-ВУ, 2024",,да,нет,
